Anio,Mes,Producto,Peso.Kg
2021,8,ACELGA,1.2
2021,8,ACELGA,200
2021,8,ACELGA,260
2021,8,ACELGA,80
2021,7,ACELGA,300
2021,5,ACELGA,2000
2021,5,ACELGA,350
2021,9,ACHIOTE,1014
2021,9,ACHIOTE,74.88
2021,9,ACHIOTE,41800
2021,8,ACHIOTE,44000
2021,8,ACHIOTE,1
2021,8,ACHIOTE,22000
2021,8,ACHIOTE,18000
2021,7,ACHIOTE,22000
2021,7,ACHIOTE,0.43
2021,7,ACHIOTE,19000
2021,7,ACHIOTE,102490
2021,7,ACHIOTE,74.88
2021,7,ACHIOTE,19850
2021,6,ACHIOTE,0.9
2021,6,ACHIOTE,25000
2021,6,ACHIOTE,51454
2021,6,ACHIOTE,25200
2021,6,ACHIOTE,0.25
2021,5,ACHIOTE,18000
2021,5,ACHIOTE,50900
2021,5,ACHIOTE,74.88
2021,5,ACHIOTE,36000
2021,5,ACHIOTE,18000
2021,5,ACHIOTE,50400
2021,5,ACHIOTE,0.25
2021,5,ACHIOTE,159860
2021,5,AGERATUM,6
2021,9,AJI,50
2021,8,AJI,0.928
2021,8,AJI,40
2021,8,AJI,49.5
2021,7,AJI,1320
2021,6,AJI,1000
2021,6,AJI,50
2021,6,AJI,20
2021,6,AJI,10
2021,9,AJO,1556.187
2021,9,AJO,105.425
2021,9,AJO,7000
2021,9,AJO,4000
2021,9,AJO,10000
2021,8,AJO,49.8952
2021,8,AJO,8000
2021,8,AJO,3136.237
2021,8,AJO,52.712
2021,8,AJO,100
2021,8,AJO,17000
2021,8,AJO,103.2
2021,8,AJO,0.25
2021,8,AJO,5000
2021,7,AJO,1943.813
2021,7,AJO,105.425
2021,7,AJO,2426.833
2021,7,AJO,52.712
2021,7,AJO,0.3
2021,7,AJO,5000
2021,7,AJO,4000
2021,7,AJO,120
2021,7,AJO,100
2021,6,AJO,16000
2021,6,AJO,6500
2021,6,AJO,4000
2021,6,AJO,108
2021,5,AJO,3000
2021,5,AJO,9000
2021,5,AJO,4000
2021,5,AJO,1875.372
2021,5,AJO,105.425
2021,5,AJO,100
2021,9,AJONJOLI,26000
2021,9,AJONJOLI,29000
2021,9,AJONJOLI,27000
2021,9,AJONJOLI,18000
2021,9,AJONJOLI,13750
2021,9,AJONJOLI,50000
2021,9,AJONJOLI,58000
2021,8,AJONJOLI,52000
2021,8,AJONJOLI,9000
2021,8,AJONJOLI,29000
2021,8,AJONJOLI,20000
2021,8,AJONJOLI,10000
2021,8,AJONJOLI,15000
2021,8,AJONJOLI,52000
2021,8,AJONJOLI,12500
2021,8,AJONJOLI,27000
2021,7,AJONJOLI,29000
2021,7,AJONJOLI,1
2021,7,AJONJOLI,20000
2021,7,AJONJOLI,10000
2021,7,AJONJOLI,58000
2021,7,AJONJOLI,30000
2021,6,AJONJOLI,10000
2021,6,AJONJOLI,10000
2021,6,AJONJOLI,54000
2021,6,AJONJOLI,25900
2021,6,AJONJOLI,23000
2021,6,AJONJOLI,52000
2021,6,AJONJOLI,50000
2021,6,AJONJOLI,27000
2021,6,AJONJOLI,29000
2021,6,AJONJOLI,10000
2021,5,AJONJOLI,13550
2021,5,AJONJOLI,38000
2021,5,AJONJOLI,52000
2021,5,AJONJOLI,27000
2021,5,AJONJOLI,29000
2021,5,AJONJOLI,2000
2021,5,AJONJOLI,6000
2021,5,AJONJOLI,25840
2021,5,AJONJOLI,18300
2021,9,ALBAHACA,30.672
2021,8,ALBAHACA,0.592
2021,8,ALBAHACA,1.075
2021,8,ALBAHACA,80
2021,8,ALBAHACA,50
2021,7,ALBAHACA,20.448
2021,7,ALBAHACA,480
2021,7,ALBAHACA,10.224
2021,5,ALBAHACA,100
